"","SD","HFD","DR","EX","DREX","cluster"
"Acy.3-methylglutaryl carnitine",0.102314285714286,0.0521285714285714,0.0408571428571429,0.0586833333333333,0.0502428571428571,2
"Acy.Acetyl carnitine",63.6,62.6428571428571,46.3571428571429,48.7833333333333,70.2,10
"Acy.Butyryl carnitine",6.48285714285714,7.59714285714286,7.43571428571429,9.34166666666667,13.4885714285714,10
"Acy.carnitine",450.571428571429,503.285714285714,478.1,804.833333333333,955.571428571429,10
"Acy.Dodecanoyl carnitine",1.91042857142857,1.554,1.55842857142857,2.15333333333333,2.01428571428571,6
"Acy.Dodecenoyl carnitine",0.346,0.311571428571429,0.337685714285714,0.358333333333333,0.423428571428571,10
"Acy.Hexadecadienoyl carnitine",0.889,1.068,0.622714285714286,1.151,1.43928571428571,10
"Acy.Hexadecanoyl carnitine",6.10857142857143,5.42857142857143,4.67285714285714,6.34833333333333,6.35714285714286,5
"Acy.Hexadecatrienoyl carnitine",0.608142857142857,0.778428571428571,0.511857142857143,0.792166666666667,0.725428571428571,3
"Acy.Hexadecenoyl carnitine",8.29714285714286,3.90428571428571,5.63171428571429,5.37166666666667,7.12714285714286,2
"Acy.Hydroxy-methylbutyryl carnitine",4.84714285714286,6.00571428571429,5.36857142857143,7.80333333333333,6.97857142857143,5
"Acy.Hydroxybutrylcarnitine",1.86314285714286,0.722142857142857,0.927285714285714,0.982166666666667,0.912857142857143,2
"Acy.Icosadecadienoyl carnitine",0.240142857142857,0.257428571428571,0.184914285714286,0.370333333333333,0.252,5
"Acy.Icosadecanoyl carnitine",0.203571428571429,0.202714285714286,0.183342857142857,0.316166666666667,0.28,5
"Acy.Icosadecenoyl carnitine",0.507,0.461,0.457142857142857,0.8045,0.648714285714286,5
"Acy.Octadecanoyl carnitine",3.03714285714286,3.08571428571429,2.57714285714286,3.785,3.03285714285714,5
"Acy.Octadecatrienoyl carnitine",0.395285714285714,0.451571428571429,0.2946,0.502666666666667,0.505571428571429,5
"Acy.Octadecedienoyl carnitine",4.21714285714286,5.09571428571429,3.07142857142857,5.62833333333333,4.74,5
"Acy.Octadecenoyl carnitine",11.5257142857143,9.13714285714286,8.46428571428571,11.5533333333333,10.5714285714286,6
"Acy.Pentanoyl carnitine",8.17,8.17428571428571,8.68428571428571,14.2666666666667,12.1171428571429,5
"Acy.propionyl carnitine",3.90714285714286,3.67714285714286,3.66857142857143,4.88333333333333,6.61428571428571,10
"Acy.Tetradecadienoyl carnitine",0.344428571428571,0.392285714285714,0.310985714285714,0.4805,0.437142857142857,5
"Acy.Tetradecanoyl carnitine",5.73714285714286,4.78714285714286,4.63714285714286,5.91333333333333,6.71142857142857,6
"Acy.Tetradecenoyl carnitine",4.49142857142857,3.26142857142857,3.568,4.30833333333333,4.82,6
"Untar.(E)-5-HYDROXY-3-ISOBUTYL-6-(3-METHYLBENZYLIDENE)-1,6-DIHYDROPYRAZIN-2(3H)-ONE",12.6103106115139,10.7881648018478,8.92959036585985,18.8400410496822,16.1493165010112,5
"Untar.1-STEAROYL-SN-GLYCERO-3-PHOSPHOCHOLINE",21.7221816897431,22.019229056127,22.5716590929226,22.7948520612627,23.4414802298085,10
"Untar.10-Hydroxydecanoic acid",19.9258300428611,19.2829669576037,19.6247776064253,19.6056834452433,19.4331585477436,2
"Untar.2-AMINO-2-METHYLPROPANOATE",23.561254836718,22.9658685357278,22.9389573636146,22.1150507687862,22.4634116809828,1
"Untar.2-Hydroxyisocaproic acid",20.052145558091,18.9827261707492,20.1671969540922,20.7378513601971,20.5958024158972,6
"Untar.2-Hydroxyvaleric acid",21.800792184993,21.1007276861382,21.1620351567916,21.4666748378342,21.739680004049,6
"Untar.2'-Deoxyguanosine 5'-monophosphate",14.9827387912323,18.3541751512182,14.1358617586039,17.8741806183945,9.97251753980761,3
"Untar.3-HYDROXY-3-METHYLGLUTARATE",21.2818798916663,21.1602940971841,21.1574859551417,21.4615580559266,21.5418149409032,5
"Untar.3-Hydroxyanthranilic acid",20.6764083252512,19.9724433832261,20.333143509826,20.1489728502679,20.0362110781532,2
"Untar.3-Hydroxycinnamic acid",18.6673318712676,19.0614641427926,18.9697008666765,17.7484395064198,17.5630917436734,1
"Untar.3-Hydroxypropanoic acid",21.3926685393705,20.8517020969465,21.4246279922248,21.7719860684546,22.0379103449117,6
"Untar.3-METHYLHISTIDINE",26.372821995852,25.0877805190176,25.8343173909272,25.9136578494648,25.6955124799335,2
"Untar.3-Phenyllactic acid",19.9652555198066,19.7536748711434,19.6966540145657,19.7673576428056,19.8359855550246,2
"Untar.3,4-DIHYDROXY-1-PHENYLALANINE",18.8750018991383,17.4235015636823,18.1636992101815,15.555047079913,15.1388196406594,1
"Untar.3,5-DIIODO-L-TYROSINE",16.1973288798737,11.7120865935537,16.9418632768804,20.5486087424945,17.7430599096532,6
"Untar.4-AMINOBUTANOATE",24.8606505205288,24.350722122298,24.3994298606985,24.3947479294341,24.8277257123671,2
"Untar.4-GUANIDINOBUTANOIC ACID",17.8405769197542,19.8028342231232,18.2915831854878,17.6948083770867,18.8041072352117,8
"Untar.4-Hydroxyphenyllactic acid",21.7512181160428,20.5962692309845,20.7277657389458,21.5119514122844,21.3705552338551,6
"Untar.4-PYRIDOXATE",20.7702972456671,20.3000584965547,19.6718116754207,19.3834570245482,19.7713841222715,1
"Untar.5-AMINOVALERIC ACID",26.9695694270167,27.1297911659963,27.5986650231609,28.2468835080486,27.8152321258087,5
"Untar.5-OXO-L-PROLINE",17.7930889054851,10.0784045019988,17.2966103502184,17.7012489997672,9.4601492966079,2
